Selected	index	ID	LINcode (N. gonorrhoeae cgMLST v2)	LINcode (N. gonorrhoeae cgMLST v2)[10]	LINcode (N. gonorrhoeae cgMLST v2)[1]	LINcode (N. gonorrhoeae cgMLST v2)[2]	LINcode (N. gonorrhoeae cgMLST v2)[3]	LINcode (N. gonorrhoeae cgMLST v2)[4]	LINcode (N. gonorrhoeae cgMLST v2)[5]	LINcode (N. gonorrhoeae cgMLST v2)[6]	LINcode (N. gonorrhoeae cgMLST v2)[7]	LINcode (N. gonorrhoeae cgMLST v2)[8]	LINcode (N. gonorrhoeae cgMLST v2)[9]	country	isolate	year
	848	136398	0_0_23_15_0_2_0_0_0_0_0	0_0_23_15_0_2_0_0_0_0	0	0_0	0_0_23	0_0_23_15	0_0_23_15_0	0_0_23_15_0_2	0_0_23_15_0_2_0	0_0_23_15_0_2_0_0	0_0_23_15_0_2_0_0_0	Uganda	UG160	
	849	136399	0_16_0_1_34_0_0_0_0_0_0	0_16_0_1_34_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_34	0_16_0_1_34_0	0_16_0_1_34_0_0	0_16_0_1_34_0_0_0	0_16_0_1_34_0_0_0_0	Uganda	UG161	
	850	136400	0_16_0_1_24_1_0_0_0_0_0	0_16_0_1_24_1_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_24	0_16_0_1_24_1	0_16_0_1_24_1_0	0_16_0_1_24_1_0_0	0_16_0_1_24_1_0_0_0	Uganda	UG164	
	851	136401	0_9_0_5_18_0_0_0_0_0_0	0_9_0_5_18_0_0_0_0_0	0	0_9	0_9_0	0_9_0_5	0_9_0_5_18	0_9_0_5_18_0	0_9_0_5_18_0_0	0_9_0_5_18_0_0_0	0_9_0_5_18_0_0_0_0	Uganda	UG165	
	852	136402	1_0_1_0_1_0_0_0_0_0_0	1_0_1_0_1_0_0_0_0_0	1	1_0	1_0_1	1_0_1_0	1_0_1_0_1	1_0_1_0_1_0	1_0_1_0_1_0_0	1_0_1_0_1_0_0_0	1_0_1_0_1_0_0_0_0	Uganda	UG168	
	853	136403	0_0_33_124_5_0_0_0_0_0_0	0_0_33_124_5_0_0_0_0_0	0	0_0	0_0_33	0_0_33_124	0_0_33_124_5	0_0_33_124_5_0	0_0_33_124_5_0_0	0_0_33_124_5_0_0_0	0_0_33_124_5_0_0_0_0	Uganda	UG169	
	854	136404	0_16_9_1_4_0_0_0_0_0_0	0_16_9_1_4_0_0_0_0_0	0	0_16	0_16_9	0_16_9_1	0_16_9_1_4	0_16_9_1_4_0	0_16_9_1_4_0_0	0_16_9_1_4_0_0_0	0_16_9_1_4_0_0_0_0	Uganda	UG170	
	855	136405	1_0_0_2_1_0_0_0_0_0_0	1_0_0_2_1_0_0_0_0_0	1	1_0	1_0_0	1_0_0_2	1_0_0_2_1	1_0_0_2_1_0	1_0_0_2_1_0_0	1_0_0_2_1_0_0_0	1_0_0_2_1_0_0_0_0	Uganda	UG171	
	856	136406	0_0_36_4_36_0_0_0_0_0_0	0_0_36_4_36_0_0_0_0_0	0	0_0	0_0_36	0_0_36_4	0_0_36_4_36	0_0_36_4_36_0	0_0_36_4_36_0_0	0_0_36_4_36_0_0_0	0_0_36_4_36_0_0_0_0	Uganda	UG172	
	857	136407	16_1_0_7_0_0_0_0_0_0_0	16_1_0_7_0_0_0_0_0_0	16	16_1	16_1_0	16_1_0_7	16_1_0_7_0	16_1_0_7_0_0	16_1_0_7_0_0_0	16_1_0_7_0_0_0_0	16_1_0_7_0_0_0_0_0	Uganda	UG173	
	858	136408	0_0_36_4_28_0_0_0_0_0_0	0_0_36_4_28_0_0_0_0_0	0	0_0	0_0_36	0_0_36_4	0_0_36_4_28	0_0_36_4_28_0	0_0_36_4_28_0_0	0_0_36_4_28_0_0_0	0_0_36_4_28_0_0_0_0	Uganda	UG174	
	859	136409												Uganda	UG176	
	860	136410	16_1_0_2_9_0_0_0_0_0_0	16_1_0_2_9_0_0_0_0_0	16	16_1	16_1_0	16_1_0_2	16_1_0_2_9	16_1_0_2_9_0	16_1_0_2_9_0_0	16_1_0_2_9_0_0_0	16_1_0_2_9_0_0_0_0	Uganda	UG177	
	861	136411	0_0_36_12_0_0_0_0_0_0_0	0_0_36_12_0_0_0_0_0_0	0	0_0	0_0_36	0_0_36_12	0_0_36_12_0	0_0_36_12_0_0	0_0_36_12_0_0_0	0_0_36_12_0_0_0_0	0_0_36_12_0_0_0_0_0	Uganda	UG178	
	862	136412	1_0_0_0_14_0_0_0_0_0_0	1_0_0_0_14_0_0_0_0_0	1	1_0	1_0_0	1_0_0_0	1_0_0_0_14	1_0_0_0_14_0	1_0_0_0_14_0_0	1_0_0_0_14_0_0_0	1_0_0_0_14_0_0_0_0	Uganda	UG179	
	863	136413	0_0_36_4_33_0_0_0_0_0_0	0_0_36_4_33_0_0_0_0_0	0	0_0	0_0_36	0_0_36_4	0_0_36_4_33	0_0_36_4_33_0	0_0_36_4_33_0_0	0_0_36_4_33_0_0_0	0_0_36_4_33_0_0_0_0	Uganda	UG180	
	864	136414	1_0_0_2_1_0_0_0_0_0_0	1_0_0_2_1_0_0_0_0_0	1	1_0	1_0_0	1_0_0_2	1_0_0_2_1	1_0_0_2_1_0	1_0_0_2_1_0_0	1_0_0_2_1_0_0_0	1_0_0_2_1_0_0_0_0	Uganda	UG181	
	865	136415	16_1_0_7_0_0_0_0_0_0_0	16_1_0_7_0_0_0_0_0_0	16	16_1	16_1_0	16_1_0_7	16_1_0_7_0	16_1_0_7_0_0	16_1_0_7_0_0_0	16_1_0_7_0_0_0_0	16_1_0_7_0_0_0_0_0	Uganda	UG183	
	866	136416	0_0_36_4_15_0_0_0_0_0_0	0_0_36_4_15_0_0_0_0_0	0	0_0	0_0_36	0_0_36_4	0_0_36_4_15	0_0_36_4_15_0	0_0_36_4_15_0_0	0_0_36_4_15_0_0_0	0_0_36_4_15_0_0_0_0	Uganda	UG184	
	867	136417	0_16_4_0_14_2_0_0_0_0_0	0_16_4_0_14_2_0_0_0_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_14	0_16_4_0_14_2	0_16_4_0_14_2_0	0_16_4_0_14_2_0_0	0_16_4_0_14_2_0_0_0	Uganda	UG185	
	868	136418	1_0_0_7_0_0_0_0_0_0_0	1_0_0_7_0_0_0_0_0_0	1	1_0	1_0_0	1_0_0_7	1_0_0_7_0	1_0_0_7_0_0	1_0_0_7_0_0_0	1_0_0_7_0_0_0_0	1_0_0_7_0_0_0_0_0	Uganda	UG186	
	869	136419	1_0_0_4_0_0_0_0_0_1_0	1_0_0_4_0_0_0_0_0_1	1	1_0	1_0_0	1_0_0_4	1_0_0_4_0	1_0_0_4_0_0	1_0_0_4_0_0_0	1_0_0_4_0_0_0_0	1_0_0_4_0_0_0_0_0	Uganda	UG187	
	870	136420	0_0_33_139_0_1_0_0_0_0_0	0_0_33_139_0_1_0_0_0_0	0	0_0	0_0_33	0_0_33_139	0_0_33_139_0	0_0_33_139_0_1	0_0_33_139_0_1_0	0_0_33_139_0_1_0_0	0_0_33_139_0_1_0_0_0	Uganda	UG188	
	871	136421	0_16_9_1_18_0_0_0_0_0_0	0_16_9_1_18_0_0_0_0_0	0	0_16	0_16_9	0_16_9_1	0_16_9_1_18	0_16_9_1_18_0	0_16_9_1_18_0_0	0_16_9_1_18_0_0_0	0_16_9_1_18_0_0_0_0	Uganda	UG190	
	872	136422	0_0_33_137_0_0_0_0_0_0_0	0_0_33_137_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_137	0_0_33_137_0	0_0_33_137_0_0	0_0_33_137_0_0_0	0_0_33_137_0_0_0_0	0_0_33_137_0_0_0_0_0	Uganda	UG191	
	873	136423	0_16_4_0_20_0_0_0_0_0_0	0_16_4_0_20_0_0_0_0_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_20	0_16_4_0_20_0	0_16_4_0_20_0_0	0_16_4_0_20_0_0_0	0_16_4_0_20_0_0_0_0	Uganda	UG192	
	874	136424	0_2_55_1_2_0_0_0_0_0_0	0_2_55_1_2_0_0_0_0_0	0	0_2	0_2_55	0_2_55_1	0_2_55_1_2	0_2_55_1_2_0	0_2_55_1_2_0_0	0_2_55_1_2_0_0_0	0_2_55_1_2_0_0_0_0	Uganda	UG193	
	875	136425	0_0_33_49_4_0_0_0_0_0_0	0_0_33_49_4_0_0_0_0_0	0	0_0	0_0_33	0_0_33_49	0_0_33_49_4	0_0_33_49_4_0	0_0_33_49_4_0_0	0_0_33_49_4_0_0_0	0_0_33_49_4_0_0_0_0	Uganda	UG194	
	876	136426	0_2_21_0_11_4_0_0_0_0_0	0_2_21_0_11_4_0_0_0_0	0	0_2	0_2_21	0_2_21_0	0_2_21_0_11	0_2_21_0_11_4	0_2_21_0_11_4_0	0_2_21_0_11_4_0_0	0_2_21_0_11_4_0_0_0	Uganda	UG196	
	877	136427	1_0_0_0_14_0_0_0_0_1_0	1_0_0_0_14_0_0_0_0_1	1	1_0	1_0_0	1_0_0_0	1_0_0_0_14	1_0_0_0_14_0	1_0_0_0_14_0_0	1_0_0_0_14_0_0_0	1_0_0_0_14_0_0_0_0	Uganda	UG199	
	878	136428	16_1_0_3_1_0_0_0_0_0_0	16_1_0_3_1_0_0_0_0_0	16	16_1	16_1_0	16_1_0_3	16_1_0_3_1	16_1_0_3_1_0	16_1_0_3_1_0_0	16_1_0_3_1_0_0_0	16_1_0_3_1_0_0_0_0	Uganda	UG200	
	879	136429	0_0_36_4_32_0_0_0_0_0_0	0_0_36_4_32_0_0_0_0_0	0	0_0	0_0_36	0_0_36_4	0_0_36_4_32	0_0_36_4_32_0	0_0_36_4_32_0_0	0_0_36_4_32_0_0_0	0_0_36_4_32_0_0_0_0	Uganda	UG201	
	880	136430	0_0_33_124_4_0_0_0_0_0_0	0_0_33_124_4_0_0_0_0_0	0	0_0	0_0_33	0_0_33_124	0_0_33_124_4	0_0_33_124_4_0	0_0_33_124_4_0_0	0_0_33_124_4_0_0_0	0_0_33_124_4_0_0_0_0	Uganda	UG202	
	881	136431	0_0_33_46_14_0_0_0_0_0_0	0_0_33_46_14_0_0_0_0_0	0	0_0	0_0_33	0_0_33_46	0_0_33_46_14	0_0_33_46_14_0	0_0_33_46_14_0_0	0_0_33_46_14_0_0_0	0_0_33_46_14_0_0_0_0	Uganda	UG203	
	882	136432	0_9_0_5_16_0_0_0_0_0_0	0_9_0_5_16_0_0_0_0_0	0	0_9	0_9_0	0_9_0_5	0_9_0_5_16	0_9_0_5_16_0	0_9_0_5_16_0_0	0_9_0_5_16_0_0_0	0_9_0_5_16_0_0_0_0	Uganda	UG204	
	883	136433	0_16_0_1_40_0_0_0_0_0_0	0_16_0_1_40_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_40	0_16_0_1_40_0	0_16_0_1_40_0_0	0_16_0_1_40_0_0_0	0_16_0_1_40_0_0_0_0	Uganda	UG205	
	884	136434	0_0_33_129_1_0_0_0_0_0_0	0_0_33_129_1_0_0_0_0_0	0	0_0	0_0_33	0_0_33_129	0_0_33_129_1	0_0_33_129_1_0	0_0_33_129_1_0_0	0_0_33_129_1_0_0_0	0_0_33_129_1_0_0_0_0	Uganda	UG208	
	885	136435	1_0_0_0_9_0_0_0_0_0_0	1_0_0_0_9_0_0_0_0_0	1	1_0	1_0_0	1_0_0_0	1_0_0_0_9	1_0_0_0_9_0	1_0_0_0_9_0_0	1_0_0_0_9_0_0_0	1_0_0_0_9_0_0_0_0	Uganda	UG209	
	886	136436	0_0_23_15_10_0_0_0_0_0_0	0_0_23_15_10_0_0_0_0_0	0	0_0	0_0_23	0_0_23_15	0_0_23_15_10	0_0_23_15_10_0	0_0_23_15_10_0_0	0_0_23_15_10_0_0_0	0_0_23_15_10_0_0_0_0	Uganda	UG210	
	887	136437	0_0_23_15_0_1_0_0_0_0_0	0_0_23_15_0_1_0_0_0_0	0	0_0	0_0_23	0_0_23_15	0_0_23_15_0	0_0_23_15_0_1	0_0_23_15_0_1_0	0_0_23_15_0_1_0_0	0_0_23_15_0_1_0_0_0	Uganda	UG211	
	888	136438	16_1_0_15_0_0_0_0_0_0_0	16_1_0_15_0_0_0_0_0_0	16	16_1	16_1_0	16_1_0_15	16_1_0_15_0	16_1_0_15_0_0	16_1_0_15_0_0_0	16_1_0_15_0_0_0_0	16_1_0_15_0_0_0_0_0	Uganda	UG212	
	889	136439	0_16_9_1_16_0_0_0_0_0_0	0_16_9_1_16_0_0_0_0_0	0	0_16	0_16_9	0_16_9_1	0_16_9_1_16	0_16_9_1_16_0	0_16_9_1_16_0_0	0_16_9_1_16_0_0_0	0_16_9_1_16_0_0_0_0	Uganda	UG213	
	890	136440	0_0_33_157_0_0_0_0_0_0_0	0_0_33_157_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_157	0_0_33_157_0	0_0_33_157_0_0	0_0_33_157_0_0_0	0_0_33_157_0_0_0_0	0_0_33_157_0_0_0_0_0	Uganda	UG214	
	891	136441	0_0_33_140_0_0_0_0_0_0_0	0_0_33_140_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_140	0_0_33_140_0	0_0_33_140_0_0	0_0_33_140_0_0_0	0_0_33_140_0_0_0_0	0_0_33_140_0_0_0_0_0	Uganda	UG215	
	892	136442	0_9_0_5_10_0_0_0_0_0_0	0_9_0_5_10_0_0_0_0_0	0	0_9	0_9_0	0_9_0_5	0_9_0_5_10	0_9_0_5_10_0	0_9_0_5_10_0_0	0_9_0_5_10_0_0_0	0_9_0_5_10_0_0_0_0	Uganda	UG216	
	893	136443	16_1_2_0_0_0_0_0_0_0_0	16_1_2_0_0_0_0_0_0_0	16	16_1	16_1_2	16_1_2_0	16_1_2_0_0	16_1_2_0_0_0	16_1_2_0_0_0_0	16_1_2_0_0_0_0_0	16_1_2_0_0_0_0_0_0	Uganda	UG217	
	894	136444	0_0_33_129_1_0_0_0_0_0_0	0_0_33_129_1_0_0_0_0_0	0	0_0	0_0_33	0_0_33_129	0_0_33_129_1	0_0_33_129_1_0	0_0_33_129_1_0_0	0_0_33_129_1_0_0_0	0_0_33_129_1_0_0_0_0	Uganda	UG218	
	895	136445	0_16_4_0_24_0_0_0_0_0_0	0_16_4_0_24_0_0_0_0_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_24	0_16_4_0_24_0	0_16_4_0_24_0_0	0_16_4_0_24_0_0_0	0_16_4_0_24_0_0_0_0	Uganda	UG219	
	896	136446	0_0_33_124_3_0_0_0_0_0_0	0_0_33_124_3_0_0_0_0_0	0	0_0	0_0_33	0_0_33_124	0_0_33_124_3	0_0_33_124_3_0	0_0_33_124_3_0_0	0_0_33_124_3_0_0_0	0_0_33_124_3_0_0_0_0	Uganda	UG220	
	897	136447	0_16_9_1_16_0_0_0_0_0_0	0_16_9_1_16_0_0_0_0_0	0	0_16	0_16_9	0_16_9_1	0_16_9_1_16	0_16_9_1_16_0	0_16_9_1_16_0_0	0_16_9_1_16_0_0_0	0_16_9_1_16_0_0_0_0	Uganda	UG223	
	898	136448	1_0_0_0_10_0_0_0_0_0_0	1_0_0_0_10_0_0_0_0_0	1	1_0	1_0_0	1_0_0_0	1_0_0_0_10	1_0_0_0_10_0	1_0_0_0_10_0_0	1_0_0_0_10_0_0_0	1_0_0_0_10_0_0_0_0	Uganda	UG225	
	899	136449	0_16_4_2_0_0_0_0_0_0_0	0_16_4_2_0_0_0_0_0_0	0	0_16	0_16_4	0_16_4_2	0_16_4_2_0	0_16_4_2_0_0	0_16_4_2_0_0_0	0_16_4_2_0_0_0_0	0_16_4_2_0_0_0_0_0	Uganda	UG226	
	900	136450	0_16_4_0_23_0_0_0_0_0_0	0_16_4_0_23_0_0_0_0_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_23	0_16_4_0_23_0	0_16_4_0_23_0_0	0_16_4_0_23_0_0_0	0_16_4_0_23_0_0_0_0	Uganda	UG227	
	901	136451	0_0_33_123_1_0_0_0_0_0_0	0_0_33_123_1_0_0_0_0_0	0	0_0	0_0_33	0_0_33_123	0_0_33_123_1	0_0_33_123_1_0	0_0_33_123_1_0_0	0_0_33_123_1_0_0_0	0_0_33_123_1_0_0_0_0	Uganda	UG228	
	902	136452	0_0_36_4_26_0_0_0_0_0_0	0_0_36_4_26_0_0_0_0_0	0	0_0	0_0_36	0_0_36_4	0_0_36_4_26	0_0_36_4_26_0	0_0_36_4_26_0_0	0_0_36_4_26_0_0_0	0_0_36_4_26_0_0_0_0	Uganda	UG229	
	903	136453	0_16_0_1_37_0_0_0_0_0_0	0_16_0_1_37_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_37	0_16_0_1_37_0	0_16_0_1_37_0_0	0_16_0_1_37_0_0_0	0_16_0_1_37_0_0_0_0	Uganda	UG230	
	904	136454	1_1_34_15_1_0_0_0_0_0_0	1_1_34_15_1_0_0_0_0_0	1	1_1	1_1_34	1_1_34_15	1_1_34_15_1	1_1_34_15_1_0	1_1_34_15_1_0_0	1_1_34_15_1_0_0_0	1_1_34_15_1_0_0_0_0	Uganda	UG231	
	905	136455	0_16_4_0_18_0_0_0_0_0_0	0_16_4_0_18_0_0_0_0_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_18	0_16_4_0_18_0	0_16_4_0_18_0_0	0_16_4_0_18_0_0_0	0_16_4_0_18_0_0_0_0	Uganda	UG233	
	906	136456	0_0_33_46_15_0_0_0_0_0_0	0_0_33_46_15_0_0_0_0_0	0	0_0	0_0_33	0_0_33_46	0_0_33_46_15	0_0_33_46_15_0	0_0_33_46_15_0_0	0_0_33_46_15_0_0_0	0_0_33_46_15_0_0_0_0	Uganda	UG234	
	907	136457	0_16_9_3_0_0_0_1_0_0_0	0_16_9_3_0_0_0_1_0_0	0	0_16	0_16_9	0_16_9_3	0_16_9_3_0	0_16_9_3_0_0	0_16_9_3_0_0_0	0_16_9_3_0_0_0_1	0_16_9_3_0_0_0_1_0	Uganda	UG235	
	908	136458	0_0_33_49_1_1_0_0_0_0_0	0_0_33_49_1_1_0_0_0_0	0	0_0	0_0_33	0_0_33_49	0_0_33_49_1	0_0_33_49_1_1	0_0_33_49_1_1_0	0_0_33_49_1_1_0_0	0_0_33_49_1_1_0_0_0	Uganda	UG236	
	909	136459	0_16_9_1_11_0_0_0_0_0_0	0_16_9_1_11_0_0_0_0_0	0	0_16	0_16_9	0_16_9_1	0_16_9_1_11	0_16_9_1_11_0	0_16_9_1_11_0_0	0_16_9_1_11_0_0_0	0_16_9_1_11_0_0_0_0	Uganda	UG237	
	910	136460	0_16_0_7_5_0_0_0_0_0_0	0_16_0_7_5_0_0_0_0_0	0	0_16	0_16_0	0_16_0_7	0_16_0_7_5	0_16_0_7_5_0	0_16_0_7_5_0_0	0_16_0_7_5_0_0_0	0_16_0_7_5_0_0_0_0	Uganda	UG238	
	911	136461	0_0_23_15_10_0_0_0_0_1_0	0_0_23_15_10_0_0_0_0_1	0	0_0	0_0_23	0_0_23_15	0_0_23_15_10	0_0_23_15_10_0	0_0_23_15_10_0_0	0_0_23_15_10_0_0_0	0_0_23_15_10_0_0_0_0	Uganda	UG239	
	912	136462	0_0_33_128_2_0_0_0_0_0_0	0_0_33_128_2_0_0_0_0_0	0	0_0	0_0_33	0_0_33_128	0_0_33_128_2	0_0_33_128_2_0	0_0_33_128_2_0_0	0_0_33_128_2_0_0_0	0_0_33_128_2_0_0_0_0	Uganda	UG240	
	913	136463	0_0_36_4_10_1_0_0_0_0_0	0_0_36_4_10_1_0_0_0_0	0	0_0	0_0_36	0_0_36_4	0_0_36_4_10	0_0_36_4_10_1	0_0_36_4_10_1_0	0_0_36_4_10_1_0_0	0_0_36_4_10_1_0_0_0	Uganda	UG241	
	914	136464	0_16_9_1_1_0_1_0_0_0_0	0_16_9_1_1_0_1_0_0_0	0	0_16	0_16_9	0_16_9_1	0_16_9_1_1	0_16_9_1_1_0	0_16_9_1_1_0_1	0_16_9_1_1_0_1_0	0_16_9_1_1_0_1_0_0	Uganda	UG243	
	915	136465	0_16_4_0_25_0_0_0_0_0_0	0_16_4_0_25_0_0_0_0_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_25	0_16_4_0_25_0	0_16_4_0_25_0_0	0_16_4_0_25_0_0_0	0_16_4_0_25_0_0_0_0	Uganda	UG244	
	916	136466	0_16_9_1_1_1_0_0_0_0_0	0_16_9_1_1_1_0_0_0_0	0	0_16	0_16_9	0_16_9_1	0_16_9_1_1	0_16_9_1_1_1	0_16_9_1_1_1_0	0_16_9_1_1_1_0_0	0_16_9_1_1_1_0_0_0	Uganda	UG246	
	917	136467	0_16_12_1_0_0_0_0_0_0_0	0_16_12_1_0_0_0_0_0_0	0	0_16	0_16_12	0_16_12_1	0_16_12_1_0	0_16_12_1_0_0	0_16_12_1_0_0_0	0_16_12_1_0_0_0_0	0_16_12_1_0_0_0_0_0	Uganda	UG247	
	918	136468	1_1_34_5_0_0_0_0_1_0_0	1_1_34_5_0_0_0_0_1_0	1	1_1	1_1_34	1_1_34_5	1_1_34_5_0	1_1_34_5_0_0	1_1_34_5_0_0_0	1_1_34_5_0_0_0_0	1_1_34_5_0_0_0_0_1	Uganda	UG248	
	919	136469	0_16_4_0_24_0_0_0_0_0_0	0_16_4_0_24_0_0_0_0_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_24	0_16_4_0_24_0	0_16_4_0_24_0_0	0_16_4_0_24_0_0_0	0_16_4_0_24_0_0_0_0	Uganda	UG249	
	920	136470	0_16_12_0_0_0_0_0_0_0_0	0_16_12_0_0_0_0_0_0_0	0	0_16	0_16_12	0_16_12_0	0_16_12_0_0	0_16_12_0_0_0	0_16_12_0_0_0_0	0_16_12_0_0_0_0_0	0_16_12_0_0_0_0_0_0	Uganda	UG250	
	921	136471	0_16_4_0_19_0_0_0_0_0_0	0_16_4_0_19_0_0_0_0_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_19	0_16_4_0_19_0	0_16_4_0_19_0_0	0_16_4_0_19_0_0_0	0_16_4_0_19_0_0_0_0	Uganda	UG251	
	922	136472	0_16_0_1_33_0_1_0_0_0_0	0_16_0_1_33_0_1_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_33	0_16_0_1_33_0	0_16_0_1_33_0_1	0_16_0_1_33_0_1_0	0_16_0_1_33_0_1_0_0	Uganda	UG253	
	923	136473	0_0_23_29_0_0_0_0_0_0_0	0_0_23_29_0_0_0_0_0_0	0	0_0	0_0_23	0_0_23_29	0_0_23_29_0	0_0_23_29_0_0	0_0_23_29_0_0_0	0_0_23_29_0_0_0_0	0_0_23_29_0_0_0_0_0	Uganda	UG256	
	924	136474	0_16_9_1_1_0_1_1_0_0_0	0_16_9_1_1_0_1_1_0_0	0	0_16	0_16_9	0_16_9_1	0_16_9_1_1	0_16_9_1_1_0	0_16_9_1_1_0_1	0_16_9_1_1_0_1_1	0_16_9_1_1_0_1_1_0	Uganda	UG257	
	925	136475	0_2_55_3_1_0_0_0_0_0_0	0_2_55_3_1_0_0_0_0_0	0	0_2	0_2_55	0_2_55_3	0_2_55_3_1	0_2_55_3_1_0	0_2_55_3_1_0_0	0_2_55_3_1_0_0_0	0_2_55_3_1_0_0_0_0	Uganda	UG258	
	926	136476	0_0_23_15_10_0_0_0_0_0_0	0_0_23_15_10_0_0_0_0_0	0	0_0	0_0_23	0_0_23_15	0_0_23_15_10	0_0_23_15_10_0	0_0_23_15_10_0_0	0_0_23_15_10_0_0_0	0_0_23_15_10_0_0_0_0	Uganda	UG259	
	927	136477	1_0_0_0_11_0_0_0_0_0_0	1_0_0_0_11_0_0_0_0_0	1	1_0	1_0_0	1_0_0_0	1_0_0_0_11	1_0_0_0_11_0	1_0_0_0_11_0_0	1_0_0_0_11_0_0_0	1_0_0_0_11_0_0_0_0	Uganda	UG260	
	928	136478	0_9_0_5_12_0_0_0_0_0_0	0_9_0_5_12_0_0_0_0_0	0	0_9	0_9_0	0_9_0_5	0_9_0_5_12	0_9_0_5_12_0	0_9_0_5_12_0_0	0_9_0_5_12_0_0_0	0_9_0_5_12_0_0_0_0	Uganda	UG261	
	929	136479	0_0_33_124_13_0_0_0_0_0_0	0_0_33_124_13_0_0_0_0_0	0	0_0	0_0_33	0_0_33_124	0_0_33_124_13	0_0_33_124_13_0	0_0_33_124_13_0_0	0_0_33_124_13_0_0_0	0_0_33_124_13_0_0_0_0	Uganda	UG262	
	930	136480	0_0_23_15_0_4_0_0_0_0_0	0_0_23_15_0_4_0_0_0_0	0	0_0	0_0_23	0_0_23_15	0_0_23_15_0	0_0_23_15_0_4	0_0_23_15_0_4_0	0_0_23_15_0_4_0_0	0_0_23_15_0_4_0_0_0	Uganda	UG263	
	931	136481	0_16_0_1_39_0_0_0_0_0_0	0_16_0_1_39_0_0_0_0_0	0	0_16	0_16_0	0_16_0_1	0_16_0_1_39	0_16_0_1_39_0	0_16_0_1_39_0_0	0_16_0_1_39_0_0_0	0_16_0_1_39_0_0_0_0	Uganda	UG264	
	932	136482	0_0_36_4_24_0_0_0_0_0_0	0_0_36_4_24_0_0_0_0_0	0	0_0	0_0_36	0_0_36_4	0_0_36_4_24	0_0_36_4_24_0	0_0_36_4_24_0_0	0_0_36_4_24_0_0_0	0_0_36_4_24_0_0_0_0	Uganda	UG265	
	933	136483	0_16_9_1_7_0_0_0_0_0_0	0_16_9_1_7_0_0_0_0_0	0	0_16	0_16_9	0_16_9_1	0_16_9_1_7	0_16_9_1_7_0	0_16_9_1_7_0_0	0_16_9_1_7_0_0_0	0_16_9_1_7_0_0_0_0	Uganda	UG266	
	934	136484	0_0_23_13_1_0_0_0_0_0_0	0_0_23_13_1_0_0_0_0_0	0	0_0	0_0_23	0_0_23_13	0_0_23_13_1	0_0_23_13_1_0	0_0_23_13_1_0_0	0_0_23_13_1_0_0_0	0_0_23_13_1_0_0_0_0	Uganda	UG267	
	935	136485	0_0_33_151_0_0_0_0_0_0_0	0_0_33_151_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_151	0_0_33_151_0	0_0_33_151_0_0	0_0_33_151_0_0_0	0_0_33_151_0_0_0_0	0_0_33_151_0_0_0_0_0	Uganda	UG268	
	936	136486	0_16_4_0_24_0_0_0_0_0_0	0_16_4_0_24_0_0_0_0_0	0	0_16	0_16_4	0_16_4_0	0_16_4_0_24	0_16_4_0_24_0	0_16_4_0_24_0_0	0_16_4_0_24_0_0_0	0_16_4_0_24_0_0_0_0	Uganda	UG269	
	937	136487	0_0_23_15_10_0_0_0_0_0_0	0_0_23_15_10_0_0_0_0_0	0	0_0	0_0_23	0_0_23_15	0_0_23_15_10	0_0_23_15_10_0	0_0_23_15_10_0_0	0_0_23_15_10_0_0_0	0_0_23_15_10_0_0_0_0	Uganda	UG270	
	938	136488	0_0_33_135_0_0_0_0_0_0_0	0_0_33_135_0_0_0_0_0_0	0	0_0	0_0_33	0_0_33_135	0_0_33_135_0	0_0_33_135_0_0	0_0_33_135_0_0_0	0_0_33_135_0_0_0_0	0_0_33_135_0_0_0_0_0	Uganda	UG271	
	939	136489	0_16_10_0_1_0_0_0_0_0_0	0_16_10_0_1_0_0_0_0_0	0	0_16	0_16_10	0_16_10_0	0_16_10_0_1	0_16_10_0_1_0	0_16_10_0_1_0_0	0_16_10_0_1_0_0_0	0_16_10_0_1_0_0_0_0	Uganda	UG273	
	940	136490	0_16_9_1_5_0_0_1_0_0_0	0_16_9_1_5_0_0_1_0_0	0	0_16	0_16_9	0_16_9_1	0_16_9_1_5	0_16_9_1_5_0	0_16_9_1_5_0_0	0_16_9_1_5_0_0_1	0_16_9_1_5_0_0_1_0	Uganda	UG274	
